device_id,device_type,operating_system,browser,mac_address,device_fingerprint
D0001,Laptop,Windows 11,Firefox,6c:c4:17:64:01:72,Windows 11_Firefox_39859724
D0002,Laptop,macOS Sonoma,Chrome,43:f8:f3:0e:5f:5b,macOS Sonoma_Chrome_8d456446
D0003,Laptop,macOS Sonoma,Chrome,2f:51:22:5c:ba:6a,macOS Sonoma_Chrome_96d19a34
D0004,Laptop,Windows 10,Chrome,32:89:77:43:44:c9,Windows 10_Chrome_e8bde69c
D0005,Workstation,Ubuntu 22.04,Brave,2e:0a:fa:1c:08:f4,Ubuntu 22.04_Brave_2f904b4b
D0006,Laptop,macOS Sonoma,Firefox,62:8c:d6:16:e6:79,macOS Sonoma_Firefox_4e18262a
D0007,Laptop,Windows 11,Chrome,aa:ce:1a:de:3d:25,Windows 11_Chrome_acdf0c76
D0008,Workstation,Windows 11,Edge,97:5a:4b:50:bc:24,Windows 11_Edge_356b023f
D0009,Desktop,Ubuntu 22.04,Chrome,3f:04:ef:6a:7e:e3,Ubuntu 22.04_Chrome_31454a36
D0010,Workstation,Windows 11,Brave,90:d5:b1:cd:12:4d,Windows 11_Brave_f6ff37ca
D0011,Desktop,Ubuntu 22.04,Brave,eb:7a:f0:4f:13:df,Ubuntu 22.04_Brave_a61b8ab8
D0012,Laptop,Ubuntu 22.04,Edge,67:d6:3e:40:20:25,Ubuntu 22.04_Edge_d7d70331
D0013,Desktop,macOS Sonoma,Chrome,ab:6f:db:28:0d:a4,macOS Sonoma_Chrome_63f8c7c0
D0014,Laptop,Windows 11,Edge,f6:9a:84:8f:3c:84,Windows 11_Edge_fff562a0
D0015,Workstation,Windows 11,Edge,d9:24:32:0a:80:28,Windows 11_Edge_ee19bcea
D0016,Laptop,macOS Sonoma,Firefox,9a:4a:f0:57:47:cc,macOS Sonoma_Firefox_140cbc41
D0017,Desktop,macOS Sonoma,Brave,6d:b8:40:c1:04:49,macOS Sonoma_Brave_d5b22c24
D0018,Workstation,macOS Sonoma,Brave,a8:dc:85:c3:8a:01,macOS Sonoma_Brave_d45e5fab
D0019,Laptop,Windows 11,Edge,08:84:25:0b:ec:b5,Windows 11_Edge_b56a2c2a
D0020,Laptop,Windows 10,Edge,b2:d4:ee:42:f1:17,Windows 10_Edge_1d16df0d
D0021,Laptop,Ubuntu 22.04,Edge,36:e6:81:ba:5c:cb,Ubuntu 22.04_Edge_dff6a663
D0022,Desktop,Windows 10,Chrome,a4:9e:df:28:7a:42,Windows 10_Chrome_501ccb94
D0023,Workstation,Windows 10,Brave,44:a8:f0:77:51:7b,Windows 10_Brave_89715568
D0024,Desktop,Windows 11,Edge,5b:0a:5c:d7:d3:02,Windows 11_Edge_9281e31a
