entity_id,entity_type,department,geo_location,device_id,device_fingerprint,auth_method,normal_login_start,normal_login_end,normal_session_duration,normal_failed_login_attempts,normal_resources
U0001,user,Engineering,Bangalore,D0159,Windows 11_Firefox_e3d41a8d,Biometric,8,10,63,1,"GitHub,CRM,Email"
U0002,user,Sales,Pune,D0501,Windows 11_Chrome_b9f319e8,Password,9,11,133,0,"VPN,HR Portal,Jira,Email"
U0003,user,Marketing,Chennai,D0397,Windows 10_Chrome_3882f2f4,MFA,10,12,81,0,"Database,Finance DB"
U0004,user,Support,Hyderabad,D0156,Windows 10_Edge_44e585a8,MFA,10,12,101,0,"GitHub,CRM"
U0005,user,Engineering,Pune,D0322,macOS Sonoma_Brave_22deb24e,MFA,9,11,67,0,"Email,VPN"
U0006,user,Engineering,Bangalore,D0213,Windows 10_Brave_b927dbe7,MFA,9,11,82,1,"CRM,Confluence"
U0007,user,Sales,Pune,D0235,Windows 11_Chrome_48b0e5ea,MFA,9,11,125,0,"Jira,Finance DB,Email,Confluence"
U0008,user,Engineering,Hyderabad,D0290,macOS Sonoma_Edge_33d0f333,MFA,8,10,110,1,"HR Portal,CRM,Internal Server,VPN"
U0009,user,IT,Pune,D0301,macOS Sonoma_Chrome_7728f690,Biometric,8,10,84,0,"Internal Server,HR Portal,GitHub,Jira"
U0010,user,Support,Pune,D0357,macOS Sonoma_Firefox_542737c8,Password,9,11,76,0,"VPN,Finance DB,Internal Server"
U0011,user,IT,Pune,D0674,Windows 10_Brave_45a6700b,Password,8,10,121,0,"Email,CRM"
U0012,user,HR,Pune,D0329,Ubuntu 22.04_Brave_d514da0e,Password,9,11,155,1,"GitHub,Internal Server,VPN"
U0013,user,IT,Hyderabad,D0200,Ubuntu 22.04_Firefox_22d44013,Biometric,9,11,96,0,"HR Portal,GitHub,Jira"
U0014,user,Marketing,Chennai,D0079,Windows 11_Edge_82de66f3,Biometric,10,12,91,0,"Finance DB,Email,Internal Server,CRM"
U0015,user,Finance,Chennai,D0600,Windows 10_Chrome_df549063,MFA,10,12,138,1,"Finance DB,Jira,HR Portal"
U0016,edge_device,Support,Bangalore,D0571,Windows 10_Brave_f7dd97c5,MFA,10,12,126,0,"Email,Database"
U0017,user,Engineering,Pune,D0447,Ubuntu 22.04_Chrome_198aa661,Password,9,11,167,0,"Email,VPN,HR Portal,Finance DB"
